Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P_% of FGA by Distance,0-3_% of FGA by Distance,3-10_% of FGA by Distance,10-16_% of FGA by Distance,16-3P_% of FGA by Distance,3P_% of FGA by Distance,2P_FG% by Distance,0-3_FG% by Distance,3-10_FG% by Distance,10-16_FG% by Distance,16-3P_FG% by Distance,3P_FG% by Distance,2P_% of FG Ast'd,3P_% of FG Ast'd,%FGA_Dunks,#_Dunks,%3PA_Corner 3s,3P%_Corner 3s
138,Carsen Edwards,SG,21,BOS,35,316,0.327,19.8,0.398,0.115,0.08,0.071,0.133,0.602,0.356,0.385,0,0.25,0.6,0.309,0.5,0.714,0.009,0,0.118,0.125
139,Henry Ellenson,PF,23,BRK,5,15,0.143,16,0.429,0.286,0.143,0,0,0.571,0.333,0.5,0,,,0,0,,0,0,0.5,0
140,Wayne Ellington,SG,32,NYK,36,558,0.351,23.1,0.178,0.046,0.029,0.006,0.098,0.822,0.355,0.75,0,1,0.235,0.35,0.636,0.94,0,0,0.105,0.6
141,Joel Embiid,C,25,PHI,44,1329,0.474,12.8,0.77,0.248,0.187,0.195,0.14,0.23,0.511,0.718,0.473,0.394,0.357,0.348,0.471,0.911,0.06,39,0.037,0.333
142,James Ennis,SF,29,TOT,61,1053,0.435,14,0.527,0.374,0.088,0.034,0.031,0.473,0.523,0.655,0.192,0.1,0.333,0.338,0.716,0.915,0.092,21,0.36,0.42
143,Drew Eubanks,PF,22,SAS,14,130,0.75,5.4,0.964,0.464,0.429,0.036,0.036,0.036,0.741,0.769,0.75,0,1,1,0.75,1,0.214,6,1,1
144,Jacob Evans,SG,22,TOT,29,418,0.336,16.2,0.709,0.119,0.104,0.194,0.291,0.291,0.337,0.375,0.214,0.385,0.333,0.333,0.625,0.923,0.007,1,0.256,0.3
145,Dante Exum,SG,24,TOT,35,485,0.471,11.4,0.639,0.378,0.252,0.008,0,0.361,0.539,0.644,0.367,1,,0.349,0.268,0.8,0.067,7,0.302,0.231
146,Tacko Fall,C,24,BOS,6,24,0.75,2.9,1,0.583,0.417,0,0,0,0.75,0.857,0.6,,,,0.889,,0.417,5,,
147,Derrick Favors,C,28,NOP,45,1089,0.62,4,0.977,0.692,0.18,0.072,0.033,0.023,0.631,0.716,0.455,0.409,0.3,0.143,0.729,1,0.167,47,0.714,0.2
148,Cristiano Felício,PF,27,CHI,22,386,0.63,3.5,0.963,0.667,0.222,0.056,0.019,0.037,0.654,0.75,0.5,0.333,0,0,0.5,,0.13,6,0,
149,Terrance Ferguson,SF,21,OKC,50,1170,0.372,20.5,0.221,0.121,0.045,0.01,0.045,0.779,0.636,0.667,0.444,1,0.667,0.297,0.893,0.978,0.035,5,0.413,0.344
150,Bruno Fernando,C,21,ATL,56,713,0.518,7,0.814,0.578,0.186,0.04,0.01,0.186,0.605,0.713,0.297,0.625,0,0.135,0.694,1,0.226,38,0.405,0.067
151,Yogi Ferrell,PG,26,SAC,44,484,0.396,17.4,0.592,0.136,0.053,0.207,0.195,0.408,0.48,0.522,0.111,0.514,0.515,0.275,0.25,0.737,0,0,0.188,0.538
152,Dorian Finney-Smith,PF,26,DAL,64,1898,0.468,15.5,0.42,0.326,0.068,0.004,0.022,0.58,0.599,0.671,0.355,0.5,0.3,0.374,0.609,0.97,0.14,55,0.498,0.439
153,Bryn Forbes,SG,26,SAS,63,1579,0.417,21,0.344,0.069,0.081,0.048,0.146,0.656,0.47,0.675,0.404,0.393,0.435,0.388,0.723,0.932,0,0,0.089,0.412
154,Evan Fournier,SG,27,ORL,61,1931,0.47,16.5,0.533,0.173,0.15,0.107,0.104,0.467,0.525,0.673,0.477,0.398,0.478,0.406,0.44,0.824,0.003,2,0.143,0.534
155,De'Aaron Fox,PG,22,SAC,45,1426,0.475,10.5,0.779,0.314,0.28,0.137,0.048,0.221,0.523,0.673,0.433,0.368,0.515,0.307,0.142,0.574,0.04,23,0.137,0.143
156,Melvin Frazier,SG,23,ORL,15,51,0.353,15.6,0.588,0.118,0.176,0.176,0.118,0.412,0.2,0.5,0,0.333,0,0.571,1,0.5,0,0,0.429,0.667
157,Michael Frazier,SG,25,HOU,8,66,0.364,18.6,0.273,0.182,0.091,0,0,0.727,0.667,1,0,,,0.25,1,1,0.091,1,0.25,0.5
158,Tim Frazier,PG,29,DET,27,355,0.362,15.2,0.681,0.149,0.213,0.106,0.213,0.319,0.375,0.571,0.35,0.3,0.3,0.333,0.292,0.7,0,0,0.167,0.6
159,Markelle Fultz,PG,21,ORL,64,1813,0.473,10.6,0.825,0.348,0.201,0.178,0.099,0.175,0.52,0.651,0.426,0.408,0.448,0.254,0.314,0.867,0.037,20,0.136,0.313
160,Wenyen Gabriel,PF,22,TOT,28,210,0.435,12.5,0.565,0.391,0.152,0.022,0,0.435,0.538,0.722,0,1,,0.3,0.5,1,0.152,6,0.35,0.571
161,Daniel Gafford,C,21,CHI,43,609,0.701,1.8,1,0.828,0.164,0.007,0,0,0.701,0.766,0.409,0,,,0.702,,0.455,54,,
162,Danilo Gallinari,PF,31,OKC,55,1690,0.439,18.5,0.462,0.15,0.099,0.077,0.136,0.538,0.474,0.643,0.27,0.414,0.471,0.409,0.512,0.861,0.044,29,0.102,0.366
163,Langston Galloway,SG,28,DET,66,1702,0.435,18.6,0.389,0.109,0.137,0.076,0.068,0.611,0.493,0.678,0.392,0.439,0.459,0.399,0.712,0.992,0.002,1,0.381,0.54
164,Darius Garland,PG,20,CLE,59,1824,0.401,16,0.577,0.18,0.153,0.149,0.094,0.423,0.434,0.468,0.439,0.423,0.379,0.355,0.28,0.733,0,0,0.182,0.389
165,Marc Gasol,C,35,TOR,36,990,0.419,17.3,0.462,0.136,0.174,0.102,0.051,0.538,0.44,0.625,0.512,0.25,0.083,0.402,0.646,1,0.034,7,0.094,0.5
166,Rudy Gay,PF,33,SAS,60,1287,0.442,15.1,0.631,0.175,0.151,0.203,0.102,0.369,0.517,0.716,0.382,0.471,0.471,0.314,0.512,0.845,0.05,20,0.286,0.283
167,Paul George,SF,29,LAC,42,1222,0.432,17.8,0.506,0.139,0.122,0.116,0.129,0.494,0.463,0.702,0.354,0.385,0.379,0.399,0.335,0.684,0.018,11,0.159,0.585
168,Taj Gibson,C,34,NYK,62,1025,0.584,6.7,0.951,0.577,0.136,0.08,0.157,0.049,0.599,0.703,0.436,0.478,0.422,0.286,0.724,1,0.14,34,0.571,0.25
169,Harry Giles,PF,21,SAC,38,579,0.56,7.9,1,0.377,0.261,0.184,0.179,0,0.56,0.833,0.389,0.421,0.378,,0.759,,0.164,30,,
170,Shai Gilgeous-Alexander,SG,21,OKC,63,2214,0.473,11.2,0.763,0.282,0.273,0.138,0.07,0.237,0.511,0.614,0.408,0.512,0.492,0.351,0.245,0.564,0.018,17,0.135,0.433
171,Rudy Gobert,C,27,UTA,62,2142,0.698,2.1,1,0.836,0.158,0.006,0,0,0.698,0.761,0.388,0,,,0.734,,0.437,206,,
172,Brandon Goodwin,PG,24,ATL,34,430,0.4,15.8,0.542,0.205,0.184,0.116,0.037,0.458,0.485,0.641,0.371,0.409,0.429,0.299,0.28,0.615,0,0,0.184,0.125
173,Aaron Gordon,PF,24,ORL,58,1914,0.433,13,0.689,0.321,0.132,0.15,0.085,0.311,0.492,0.7,0.354,0.358,0.161,0.301,0.5,0.897,0.127,85,0.186,0.333
174,Eric Gordon,SG,31,HOU,34,972,0.37,19,0.342,0.201,0.11,0.021,0.011,0.658,0.467,0.557,0.375,0.333,0,0.319,0.543,0.793,0.011,5,0.083,0.208
175,Devonte' Graham,PG,24,CHO,63,2211,0.382,19.4,0.393,0.132,0.11,0.074,0.077,0.607,0.397,0.543,0.274,0.352,0.365,0.373,0.307,0.546,0.004,4,0.063,0.432
176,Treveon Graham,SG,26,TOT,55,929,0.36,14.6,0.504,0.256,0.211,0.029,0.008,0.496,0.443,0.484,0.392,0.571,0,0.275,0.63,0.97,0.004,1,0.292,0.229
177,Jerami Grant,PF,25,DEN,64,1676,0.471,13.4,0.606,0.312,0.159,0.07,0.065,0.394,0.518,0.672,0.371,0.359,0.306,0.4,0.766,1,0.111,56,0.291,0.344
178,Josh Gray,PG,26,NOP,2,23,0.5,1.5,1,1,0,0,0,0,0.5,0.5,,,,,0,,0,0,,
179,Danny Green,SG,32,LAL,61,1529,0.419,19.6,0.296,0.132,0.075,0.045,0.045,0.704,0.516,0.679,0.469,0.421,0.211,0.378,0.662,0.973,0.014,5,0.391,0.41
180,Draymond Green,PF,29,GSW,43,1222,0.389,15,0.592,0.231,0.184,0.092,0.085,0.408,0.465,0.685,0.31,0.414,0.259,0.279,0.724,1,0.019,6,0.093,0.333
181,JaMychal Green,PF,29,LAC,55,1130,0.414,18.3,0.325,0.212,0.089,0.01,0.013,0.675,0.52,0.641,0.296,0.333,0.25,0.363,0.549,1,0.043,12,0.216,0.386
182,Javonte Green,SF,26,BOS,44,414,0.5,8.3,0.765,0.51,0.224,0.02,0.01,0.235,0.573,0.66,0.364,0.5,1,0.261,0.605,1,0.173,13,0.391,0.333
183,Jeff Green,PF,33,TOT,40,754,0.444,16.1,0.471,0.253,0.169,0.031,0.019,0.529,0.553,0.697,0.432,0.25,0.2,0.348,0.588,0.938,0.088,19,0.37,0.392
184,Blake Griffin,PF,30,DET,18,512,0.352,13.8,0.556,0.276,0.212,0.036,0.032,0.444,0.439,0.565,0.358,0.222,0.125,0.243,0.393,0.593,0.02,5,0.216,0.167
185,Marko Guduric,SG,24,MEM,42,476,0.396,16.2,0.474,0.247,0.11,0.032,0.084,0.526,0.493,0.605,0.412,0.2,0.385,0.309,0.583,0.96,0.006,1,0.235,0.316
186,Kyle Guy,SG,22,SAC,2,4,0.5,22.5,0.5,0,0,0,0.5,0.5,1,,,,1,0,1,,0,0,1,0
187,Rui Hachimura,PF,21,WAS,41,1217,0.478,10.3,0.84,0.355,0.195,0.164,0.125,0.16,0.517,0.71,0.337,0.413,0.386,0.274,0.657,1,0.099,43,0.288,0.286
188,Devon Hall,SG,24,OKC,5,20,0.2,12.6,0.6,0.4,0.2,0,0,0.4,0.333,0.5,0,,,0,0,,0,0,0,
189,Donta Hall,PF,22,DET,4,48,0.25,1.5,1,1,0,0,0,0,0.25,0.25,,,,,0,,0.5,1,,
190,Dusty Hannahs,SG,26,MEM,2,13,0.444,14.3,0.667,0.111,0.444,0,0.111,0.333,0.333,1,0.25,,0,0.667,0.5,0.5,0,0,0,
191,Tim Hardaway Jr.,SG,27,DAL,63,1815,0.437,18.5,0.426,0.13,0.115,0.081,0.1,0.574,0.478,0.602,0.363,0.484,0.443,0.407,0.503,0.838,0.023,15,0.237,0.463
192,James Harden,SG,30,HOU,61,2241,0.435,16.5,0.445,0.237,0.185,0.019,0.004,0.555,0.538,0.652,0.401,0.462,0.5,0.352,0.136,0.151,0.013,16,0.044,0.353
193,Maurice Harkless,SF,26,TOT,62,1427,0.502,10.4,0.654,0.519,0.095,0.014,0.025,0.346,0.584,0.667,0.222,0.5,0.286,0.347,0.639,0.912,0.205,49,0.551,0.37
194,Jared Harper,PG,22,PHO,3,8,0.25,16.3,0.5,0,0.5,0,0,0.5,0.5,,0.5,,,0,0,,0,0,0,
195,Montrezl Harrell,C,26,LAC,63,1749,0.58,4.2,0.978,0.61,0.305,0.046,0.017,0.022,0.593,0.705,0.44,0.297,0.143,0,0.618,,0.172,134,0,
196,Gary Harris,SG,25,DEN,56,1780,0.42,13.9,0.595,0.291,0.148,0.081,0.075,0.405,0.479,0.649,0.234,0.286,0.513,0.333,0.757,0.9,0.05,25,0.295,0.484
197,Joe Harris,SF,28,BRK,63,1946,0.471,15.5,0.477,0.291,0.113,0.028,0.044,0.523,0.536,0.634,0.338,0.45,0.452,0.412,0.767,0.961,0.003,2,0.168,0.5
198,Tobias Harris,PF,27,PHI,65,2243,0.472,13.4,0.691,0.221,0.217,0.157,0.097,0.309,0.521,0.662,0.498,0.463,0.347,0.362,0.488,0.872,0.048,44,0.189,0.443
199,Shaquille Harrison,SF,26,CHI,43,484,0.467,9.1,0.745,0.515,0.17,0.048,0.012,0.255,0.496,0.576,0.286,0.5,0,0.381,0.508,0.813,0.03,5,0.381,0.313
200,Josh Hart,SF,24,NOP,57,1563,0.416,18.4,0.324,0.212,0.064,0.033,0.015,0.676,0.571,0.686,0.484,0.188,0.143,0.342,0.472,0.973,0.008,4,0.274,0.416
201,Isaiah Hartenstein,C,21,HOU,23,266,0.657,4.2,0.925,0.716,0.179,0.03,0,0.075,0.71,0.792,0.417,0.5,,0,0.818,,0.179,12,0.2,0
202,Udonis Haslem,PF,39,MIA,3,21,0.167,10.8,0.667,0.333,0.333,0,0,0.333,0.25,0,0.5,,,0,1,,0.167,0,0,
203,Jaxson Hayes,C,19,NOP,56,951,0.66,2.9,0.983,0.83,0.128,0.026,0,0.017,0.667,0.744,0.233,0.333,,0.25,0.825,1,0.43,90,0.25,1
204,Gordon Hayward,SF,29,BOS,45,1501,0.502,13.9,0.689,0.213,0.188,0.178,0.11,0.311,0.553,0.752,0.447,0.491,0.448,0.392,0.515,0.851,0.038,22,0.222,0.381
205,John Henson,PF,29,TOT,40,600,0.556,8.2,0.789,0.462,0.31,0.006,0.012,0.211,0.644,0.785,0.453,1,0,0.222,0.77,1,0.175,29,0.278,0.3
206,Dewan Hernandez,C,23,TOR,4,11,0.2,7.2,0.8,0.4,0.4,0,0,0.2,0.25,0,0.5,,,0,0,,0,0,0,
207,Juan Hernangómez,PF,24,TOT,48,833,0.405,14.7,0.478,0.352,0.097,0.02,0.008,0.522,0.475,0.575,0.167,0.4,0,0.341,0.679,0.977,0.077,16,0.217,0.357
208,Willy Hernangómez,C,25,CHO,31,375,0.532,7.3,0.842,0.489,0.273,0.058,0.022,0.158,0.59,0.706,0.447,0.375,0.333,0.227,0.58,1,0.115,14,0.136,0.333
209,Tyler Herro,SG,20,MIA,47,1280,0.414,18.2,0.524,0.118,0.1,0.12,0.186,0.476,0.434,0.508,0.434,0.422,0.394,0.391,0.471,0.778,0.004,2,0.146,0.459
210,Kevin Hervey,PF,23,OKC,7,19,0.091,21.9,0.273,0.091,0,0.091,0.091,0.727,0.333,1,,0,0,0,0,,0,0,0.125,0
211,Mario Hezonja,PF,24,POR,47,767,0.429,12.5,0.661,0.349,0.18,0.074,0.058,0.339,0.48,0.5,0.529,0.429,0.273,0.328,0.45,0.905,0.053,8,0.156,0.2
212,Buddy Hield,SG,27,SAC,64,2045,0.429,19,0.418,0.13,0.08,0.087,0.121,0.582,0.477,0.688,0.353,0.391,0.395,0.395,0.401,0.709,0.017,16,0.173,0.477
213,George Hill,PG,33,MIL,52,1103,0.53,14.6,0.548,0.315,0.113,0.057,0.063,0.452,0.571,0.755,0.211,0.368,0.476,0.48,0.476,0.63,0.03,10,0.23,0.543
214,Solomon Hill,SF,28,TOT,54,992,0.403,18.3,0.371,0.145,0.137,0.036,0.052,0.629,0.446,0.472,0.412,0.333,0.538,0.378,0.61,0.932,0.02,4,0.256,0.475
215,Jaylen Hoard,SF,20,POR,13,103,0.469,5.6,0.906,0.625,0.156,0.094,0.031,0.094,0.517,0.75,0,0,0,0,0.467,,0.031,1,0,
216,Aaron Holiday,PG,23,IND,58,1368,0.407,15.3,0.591,0.224,0.165,0.095,0.107,0.409,0.416,0.559,0.329,0.255,0.396,0.394,0.262,0.825,0.006,2,0.158,0.438
217,Jrue Holiday,SG,29,NOP,55,1922,0.452,12.1,0.654,0.338,0.214,0.063,0.039,0.346,0.502,0.629,0.367,0.441,0.25,0.357,0.307,0.557,0.025,19,0.137,0.409
218,Justin Holiday,SG,30,IND,65,1617,0.44,19.2,0.333,0.181,0.046,0.051,0.056,0.667,0.472,0.59,0.25,0.364,0.375,0.424,0.765,0.975,0.053,18,0.382,0.427
219,Rondae Hollis-Jefferson,SF,25,TOR,52,998,0.471,4.4,0.942,0.681,0.18,0.061,0.02,0.058,0.493,0.572,0.226,0.5,0.167,0.118,0.65,1,0.095,24,0.529,0
220,Richaun Holmes,C,26,SAC,39,1125,0.654,4.5,1,0.579,0.268,0.128,0.025,0,0.654,0.753,0.488,0.634,0.25,,0.738,,0.234,71,,
221,Rodney Hood,SF,27,POR,21,619,0.506,16.2,0.587,0.116,0.163,0.186,0.122,0.413,0.515,0.8,0.286,0.5,0.571,0.493,0.308,0.886,0.023,4,0.366,0.538
222,Al Horford,C,33,PHI,60,1848,0.442,15.6,0.596,0.18,0.176,0.118,0.122,0.404,0.513,0.763,0.374,0.442,0.413,0.337,0.605,0.978,0.035,21,0.121,0.281
223,Talen Horton-Tucker,SG,19,LAL,2,5,0,26,0,0,0,0,0,1,,,,,,0,,,0,0,0,
224,Danuel House,SF,26,HOU,58,1739,0.427,17.3,0.355,0.251,0.073,0.025,0.006,0.645,0.544,0.669,0.2,0.333,0.333,0.363,0.731,0.956,0.077,29,0.421,0.351
225,Dwight Howard,C,34,LAL,62,1193,0.732,2.6,0.981,0.798,0.175,0,0.008,0.019,0.734,0.815,0.378,,0.5,0.6,0.627,1,0.459,111,0.2,0
226,William Howard,SG,26,HOU,2,13,0,25.3,0,0,0,0,0,1,,,,,,0,,,0,0,0.25,0
227,Kevin Huerter,SG,21,ATL,56,1760,0.413,18.1,0.452,0.139,0.118,0.121,0.074,0.548,0.453,0.576,0.417,0.419,0.333,0.38,0.392,0.85,0.018,10,0.165,0.455
228,De'Andre Hunter,SF,22,ATL,63,2018,0.41,15.6,0.555,0.225,0.133,0.085,0.111,0.445,0.454,0.591,0.297,0.379,0.421,0.355,0.564,0.944,0.037,19,0.336,0.363
229,Chandler Hutchison,SF,23,CHI,28,527,0.457,8,0.783,0.509,0.229,0.04,0.006,0.217,0.496,0.607,0.3,0.286,0,0.316,0.618,1,0.137,20,0.553,0.381
230,Serge Ibaka,C,30,TOR,50,1377,0.518,12.3,0.734,0.242,0.266,0.111,0.114,0.266,0.562,0.762,0.488,0.478,0.394,0.398,0.798,1,0.091,52,0.114,0.263
231,Andre Iguodala,SG,36,MIA,14,259,0.49,16,0.529,0.275,0.078,0.059,0.118,0.471,0.593,0.786,0.25,0,0.667,0.375,0.75,0.889,0.118,6,0.458,0.364
232,Ersan İlyasova,PF,32,MIL,56,895,0.472,13.8,0.572,0.307,0.169,0.055,0.041,0.428,0.548,0.652,0.347,0.563,0.583,0.371,0.791,0.978,0.01,3,0.25,0.29
233,Joe Ingles,SF,32,UTA,64,1916,0.441,18.1,0.372,0.136,0.164,0.051,0.022,0.628,0.516,0.716,0.383,0.48,0.364,0.397,0.358,0.642,0.004,2,0.19,0.356
234,Brandon Ingram,PF,22,NOP,56,1919,0.466,14,0.648,0.255,0.133,0.166,0.093,0.352,0.509,0.669,0.373,0.437,0.394,0.387,0.325,0.898,0.063,55,0.257,0.429
235,Kyrie Irving,PG,27,BRK,20,658,0.478,14.6,0.659,0.19,0.173,0.195,0.101,0.341,0.522,0.671,0.444,0.506,0.405,0.394,0.203,0.357,0,0,0.099,0.5
236,Jonathan Isaac,SF,22,ORL,32,949,0.463,12,0.717,0.366,0.096,0.149,0.106,0.283,0.515,0.661,0.323,0.375,0.382,0.33,0.588,0.933,0.137,36,0.253,0.391
237,Wesley Iwundu,SF,25,ORL,45,810,0.397,14.3,0.655,0.227,0.16,0.108,0.16,0.345,0.441,0.591,0.355,0.381,0.355,0.313,0.607,0.714,0.057,9,0.328,0.318
238,Frank Jackson,PG,21,NOP,51,656,0.385,15.6,0.533,0.214,0.148,0.113,0.058,0.467,0.438,0.509,0.368,0.448,0.333,0.325,0.517,0.897,0.008,2,0.367,0.409
239,Jaren Jackson Jr.,C,20,MEM,54,1512,0.468,14.8,0.515,0.244,0.228,0.033,0.01,0.485,0.535,0.696,0.394,0.391,0.286,0.397,0.653,0.919,0.08,52,0.179,0.393
240,Josh Jackson,SG,22,MEM,18,357,0.439,14.5,0.535,0.258,0.194,0.045,0.039,0.465,0.542,0.775,0.333,0.143,0.5,0.319,0.511,0.957,0.058,8,0.319,0.348
241,Justin Jackson,PF,24,DAL,58,929,0.399,15.6,0.514,0.193,0.196,0.109,0.016,0.486,0.494,0.583,0.492,0.353,0.4,0.298,0.81,0.933,0.003,1,0.232,0.257
242,Reggie Jackson,PG,29,TOT,23,556,0.416,15.5,0.56,0.171,0.233,0.105,0.051,0.44,0.431,0.591,0.4,0.296,0.308,0.398,0.161,0.644,0.008,2,0.159,0.444
243,Justin James,SG,23,SAC,34,218,0.423,14.1,0.667,0.218,0.192,0.128,0.128,0.333,0.462,0.706,0.333,0.5,0.2,0.346,0.708,0.889,0.115,7,0.346,0.444
244,LeBron James,PG,35,LAL,60,2094,0.498,12.8,0.676,0.366,0.139,0.072,0.099,0.324,0.57,0.728,0.423,0.341,0.359,0.349,0.247,0.459,0.066,76,0.055,0.429
245,Amile Jefferson,PF,26,ORL,18,74,0.357,6.1,1,0.286,0.5,0.143,0.071,0,0.357,0.25,0.429,0.5,0,,0.4,,0,0,,
246,DaQuan Jeffries,SG,22,SAC,6,19,0.429,15.3,0.429,0.286,0.143,0,0,0.571,0.667,1,0,,,0.25,1,1,0.143,1,0.5,0
247,Ty Jerome,PG,22,PHO,28,315,0.349,16.1,0.557,0.142,0.217,0.151,0.047,0.443,0.407,0.533,0.348,0.375,0.4,0.277,0.25,0.923,0,0,0.213,0.3
248,Alize Johnson,SF,23,IND,13,54,0.467,4.3,1,0.533,0.333,0.133,0,0,0.467,0.75,0.2,0,,,0.571,,0,0,,
249,B.J. Johnson,SF,24,ORL,8,46,0.278,14.9,0.667,0.222,0.056,0.167,0.222,0.333,0.333,0.75,0,0.333,0,0.167,0.25,1,0.167,3,0.5,0.333
250,Cameron Johnson,PF,23,PHO,49,996,0.418,19.5,0.295,0.157,0.04,0.049,0.049,0.705,0.469,0.627,0.154,0.375,0.313,0.397,0.711,0.989,0.028,9,0.41,0.426
251,James Johnson,PF,32,TOT,32,619,0.479,13.2,0.577,0.372,0.153,0.042,0.009,0.423,0.565,0.713,0.303,0.222,0.5,0.363,0.457,0.879,0.07,12,0.176,0.313
252,Keldon Johnson,SF,20,SAS,9,92,0.516,7.9,0.839,0.484,0.226,0.097,0.032,0.161,0.538,0.667,0.429,0,1,0.4,0.643,1,0.032,1,0.6,0.333
253,Stanley Johnson,PF,23,TOR,20,96,0.258,14.4,0.581,0.323,0.097,0.065,0.097,0.419,0.333,0.5,0,0,0.333,0.154,0,1,0,0,0.462,0
254,Tyler Johnson,SG,27,PHO,31,515,0.38,17.6,0.515,0.164,0.105,0.105,0.14,0.485,0.466,0.571,0.389,0.5,0.375,0.289,0.61,0.917,0,0,0.181,0.467
255,Nikola Jokić,C,24,DEN,65,2101,0.528,11.9,0.767,0.234,0.283,0.142,0.107,0.233,0.594,0.727,0.602,0.478,0.433,0.314,0.515,0.859,0.015,15,0.04,0.444
256,Damian Jones,C,24,ATL,55,887,0.68,3.3,0.949,0.815,0.107,0.006,0.022,0.051,0.704,0.759,0.421,0,0.25,0.222,0.824,1,0.534,85,0.778,0.286
257,Derrick Jones Jr.,SF,22,MIA,51,1249,0.514,11.6,0.61,0.477,0.111,0.012,0.009,0.39,0.67,0.734,0.472,0.25,0.333,0.27,0.788,0.971,0.266,76,0.524,0.212
258,Tyus Jones,PG,23,MEM,65,1232,0.459,13.6,0.711,0.175,0.242,0.198,0.096,0.289,0.492,0.653,0.423,0.435,0.488,0.379,0.387,0.745,0,0,0.177,0.5
259,DeAndre Jordan,C,31,BRK,56,1234,0.666,1.8,1,0.836,0.15,0.007,0.007,0,0.666,0.729,0.349,0,0.5,,0.743,,0.463,113,,
260,Cory Joseph,PG,28,SAC,64,1538,0.42,15,0.637,0.152,0.217,0.141,0.127,0.363,0.46,0.696,0.425,0.327,0.383,0.351,0.213,0.894,0,0,0.269,0.389
261,Mfiondu Kabengele,C,22,LAC,12,64,0.438,18,0.375,0.188,0.125,0.063,0,0.625,0.417,0.833,0,0,,0.45,0.8,0.778,0.125,4,0.2,0.75
262,Frank Kaminsky,C,26,PHO,32,718,0.455,13.3,0.599,0.283,0.208,0.068,0.039,0.401,0.527,0.57,0.569,0.368,0.273,0.348,0.682,1,0.047,10,0.063,0.429
263,Enes Kanter,C,27,BOS,51,891,0.566,3.6,0.977,0.669,0.26,0.016,0.032,0.023,0.576,0.63,0.469,0.2,0.5,0.143,0.497,1,0.045,11,0.143,0
264,Luke Kennard,SG,23,DET,28,922,0.442,18.2,0.465,0.126,0.117,0.111,0.111,0.535,0.491,0.721,0.425,0.342,0.447,0.399,0.474,0.808,0.003,1,0.186,0.353
265,Stanton Kidd,SF,27,UTA,4,15,0,11.7,0.667,0,0.667,0,0,0.333,0,,0,,,0,,,0,0,0,
266,Michael Kidd-Gilchrist,PF-SF,26,TOT,21,231,0.317,13.3,0.667,0.217,0.3,0.05,0.1,0.333,0.35,0.538,0.333,0.333,0,0.25,0.643,1,0,0,0.3,0.333
267,Louis King,SF,20,DET,10,62,0.381,16.4,0.476,0.143,0.19,0.143,0,0.524,0.4,0.333,0.75,0,,0.364,0,1,0.048,1,0.364,0.75
268,Maxi Kleber,C,28,DAL,66,1695,0.459,16.5,0.386,0.29,0.06,0.026,0.011,0.614,0.594,0.667,0.393,0.333,0.4,0.374,0.822,1,0.118,51,0.378,0.37
269,Brandon Knight,PG,28,TOT,25,462,0.353,22.1,0.216,0.066,0.066,0.078,0.006,0.784,0.389,0.364,0.273,0.538,0,0.344,0.143,0.533,0,0,0.107,0.357
270,Kevin Knox,SF,20,NYK,65,1166,0.359,16.6,0.504,0.195,0.125,0.082,0.102,0.496,0.391,0.564,0.26,0.333,0.268,0.327,0.506,0.923,0.045,13,0.241,0.271
271,John Konchar,SG,23,MEM,15,167,0.657,7.9,0.743,0.571,0.143,0.029,0,0.257,0.731,0.75,0.6,1,,0.444,0.684,0.5,0.114,2,0.444,0
272,Furkan Korkmaz,SG,22,PHI,64,1398,0.432,18.9,0.383,0.115,0.132,0.078,0.058,0.617,0.487,0.695,0.382,0.425,0.4,0.397,0.719,0.984,0.019,10,0.199,0.492
273,Luke Kornet,C,24,CHI,36,559,0.439,16.1,0.422,0.289,0.102,0.021,0.011,0.578,0.646,0.741,0.474,0.5,0,0.287,0.863,1,0.134,23,0.213,0.174
274,Kyle Korver,SF,38,MIL,50,833,0.429,23.2,0.201,0.039,0.019,0.035,0.108,0.799,0.481,0.4,0.2,0.556,0.536,0.415,0.8,0.965,0,0,0.242,0.44
275,Rodions Kurucs,PF,21,BRK,39,501,0.448,13.6,0.515,0.381,0.119,0.007,0.007,0.485,0.507,0.627,0.188,0,0,0.385,0.886,0.96,0.082,9,0.215,0.357
276,Kyle Kuzma,PF,24,LAL,54,1327,0.432,15.1,0.599,0.19,0.235,0.08,0.094,0.401,0.523,0.795,0.399,0.426,0.364,0.297,0.603,0.929,0.037,20,0.212,0.52
277,Skal Labissière,C,23,POR,33,567,0.551,8.3,0.912,0.374,0.279,0.177,0.082,0.088,0.582,0.673,0.463,0.615,0.5,0.231,0.731,1,0.197,27,0.154,0
278,Jeremy Lamb,SG,27,IND,46,1291,0.451,15.1,0.67,0.194,0.146,0.146,0.184,0.33,0.508,0.624,0.457,0.543,0.398,0.335,0.368,0.755,0.01,5,0.165,0.346
279,Romeo Langford,SG,20,BOS,27,298,0.375,12.1,0.641,0.313,0.266,0.047,0.016,0.359,0.463,0.55,0.353,0.667,0,0.217,0.526,1,0.063,3,0.391,0.333
280,Zach LaVine,SG,24,CHI,60,2085,0.45,13.9,0.596,0.374,0.083,0.048,0.093,0.404,0.497,0.623,0.182,0.228,0.405,0.38,0.406,0.549,0.077,88,0.167,0.481
281,Vic Law,SF,24,ORL,5,9,0,21.3,0.667,0,0,0,0.667,0.333,0,,,,0,0,,,0,0,1,0
