"","Player","FG.","Dist.","X2P_..of.FGA.by.Distance","X0.3_..of.FGA.by.Distance","X3.10_..of.FGA.by.Distance","X10.16_..of.FGA.by.Distance","X16.3P_..of.FGA.by.Distance","X3P_..of.FGA.by.Distance","X2P_FG..by.Distance","X0.3_FG..by.Distance","X3.10_FG..by.Distance","X10.16_FG..by.Distance","X16.3P_FG..by.Distance","X3P_FG..by.Distance","X2P_..of.FG.Ast.d","X3P_..of.FG.Ast.d","X.FGA_Dunks","X._Dunks","X.3PA_Corner.3s","X3P._Corner.3s","Cluster_Number"
"296","Kevin Love",0.45,18.3,0.464,0.133,0.116,0.111,0.103,0.536,0.537,0.66,0.393,0.605,0.467,0.374,0.586,0.932,0.007,3,0.141,0.455,1
"297","Kyle Lowry",0.417,18.3,0.417,0.211,0.092,0.045,0.07,0.583,0.505,0.647,0.324,0.424,0.365,0.354,0.218,0.542,0,0,0.086,0.324,1
"307","Lauri Markkanen",0.425,15.5,0.464,0.274,0.149,0.027,0.014,0.536,0.518,0.648,0.341,0.313,0.25,0.344,0.535,0.991,0.096,47,0.142,0.422,1
"316","CJ McCollum",0.453,15.5,0.622,0.172,0.161,0.145,0.144,0.378,0.497,0.598,0.379,0.494,0.511,0.38,0.2,0.661,0.004,3,0.148,0.559,3
"329","Khris Middleton",0.499,16.6,0.626,0.129,0.128,0.198,0.171,0.374,0.547,0.691,0.459,0.518,0.538,0.418,0.395,0.707,0.013,11,0.151,0.521,3
"336","Donovan Mitchell",0.453,14.6,0.653,0.171,0.235,0.134,0.113,0.347,0.501,0.626,0.424,0.5,0.471,0.364,0.22,0.609,0.026,25,0.129,0.4,3
"342","Ja Morant",0.491,9.2,0.826,0.421,0.233,0.129,0.044,0.174,0.517,0.602,0.403,0.505,0.343,0.367,0.289,0.569,0.073,44,0.101,0.5,3
"344","Marcus Morris",0.433,17.8,0.568,0.087,0.129,0.172,0.18,0.432,0.451,0.554,0.33,0.504,0.437,0.41,0.344,0.782,0.003,2,0.213,0.449,3
"351","Jamal Murray",0.455,15.5,0.641,0.187,0.135,0.142,0.177,0.359,0.517,0.658,0.439,0.458,0.473,0.345,0.479,0.657,0.039,29,0.092,0.393,3
"365","Kendrick Nunn",0.448,15.8,0.574,0.201,0.141,0.112,0.12,0.426,0.512,0.632,0.4,0.495,0.461,0.362,0.38,0.756,0.029,21,0.229,0.361,3
"377","Cedi Osman",0.437,15.8,0.473,0.269,0.125,0.057,0.021,0.527,0.497,0.604,0.355,0.371,0.308,0.383,0.545,0.894,0.007,4,0.221,0.38,1
"378","Kelly Oubre Jr.",0.452,12.7,0.628,0.334,0.166,0.082,0.046,0.372,0.511,0.587,0.387,0.426,0.553,0.352,0.574,0.954,0.103,71,0.283,0.333,1
"387","Chris Paul",0.489,17.1,0.653,0.071,0.12,0.309,0.153,0.347,0.557,0.86,0.505,0.526,0.52,0.362,0.13,0.327,0,0,0.097,0.296,3
"401","Kristaps Porziņģis",0.42,16.7,0.553,0.187,0.124,0.168,0.074,0.447,0.477,0.722,0.29,0.382,0.383,0.349,0.695,0.968,0.094,70,0.033,0.417,1
"405","Julius Randle",0.46,10.5,0.77,0.358,0.235,0.097,0.081,0.23,0.515,0.631,0.424,0.439,0.358,0.277,0.404,0.938,0.056,51,0.169,0.385,3
"410","Josh Richardson",0.429,15.9,0.627,0.171,0.139,0.152,0.166,0.373,0.489,0.622,0.388,0.345,0.568,0.327,0.415,0.814,0.024,14,0.117,0.32,3
"412","Duncan Robinson",0.467,23.3,0.114,0.062,0.028,0.01,0.015,0.886,0.614,0.816,0.529,0.167,0.222,0.448,0.837,0.959,0.007,2,0.243,0.508,1
"421","Terry Rozier",0.423,15.6,0.55,0.221,0.149,0.103,0.078,0.45,0.436,0.553,0.343,0.361,0.384,0.407,0.319,0.808,0.009,6,0.187,0.405,1
"422","Ricky Rubio",0.412,13.8,0.692,0.252,0.134,0.134,0.172,0.308,0.44,0.526,0.268,0.512,0.39,0.351,0.28,0.879,0,0,0.271,0.412,3
"423","D'Angelo Russell",0.426,19.1,0.491,0.078,0.118,0.155,0.139,0.509,0.487,0.712,0.39,0.42,0.517,0.367,0.243,0.538,0.004,3,0.081,0.429,3
"424","Domantas Sabonis",0.54,7.2,0.921,0.511,0.225,0.047,0.138,0.079,0.565,0.686,0.382,0.35,0.487,0.254,0.651,1,0.064,51,0.09,0.167,2
"430","Dennis Schröder",0.468,14.9,0.661,0.221,0.124,0.177,0.14,0.339,0.512,0.641,0.444,0.443,0.455,0.381,0.359,0.852,0.003,3,0.106,0.529,3
"433","Collin Sexton",0.472,11.1,0.765,0.33,0.215,0.153,0.068,0.235,0.501,0.615,0.391,0.446,0.419,0.38,0.293,0.742,0.024,23,0.11,0.536,3
"437","Pascal Siakam",0.459,12.4,0.68,0.289,0.234,0.073,0.084,0.32,0.506,0.709,0.376,0.342,0.31,0.359,0.424,0.643,0.042,40,0.234,0.373,3
"439","Ben Simmons",0.585,3.6,0.99,0.642,0.303,0.039,0.006,0.01,0.588,0.72,0.374,0.167,0,0.333,0.507,1,0.169,98,0.333,1,2
"442","Marcus Smart",0.38,18.6,0.418,0.104,0.165,0.104,0.044,0.582,0.424,0.53,0.365,0.47,0.286,0.348,0.304,0.719,0.008,4,0.149,0.345,1
"451","Jayson Tatum",0.448,14.1,0.623,0.255,0.164,0.119,0.085,0.377,0.479,0.616,0.379,0.402,0.368,0.398,0.434,0.557,0.055,56,0.181,0.395,3
"458","Tristan Thompson",0.512,5.2,0.959,0.496,0.372,0.073,0.018,0.041,0.518,0.624,0.435,0.317,0.1,0.391,0.599,0.667,0.185,95,0.087,0,2
"462","Karl-Anthony Towns",0.508,14,0.555,0.328,0.148,0.032,0.047,0.445,0.586,0.721,0.457,0.25,0.276,0.412,0.505,0.816,0.064,38,0.101,0.429,1
"465","P.J. Tucker",0.433,18.2,0.313,0.152,0.094,0.037,0.029,0.687,0.573,0.649,0.486,0.5,0.545,0.37,0.731,0.989,0,0,0.759,0.4,1
"468","Myles Turner",0.451,15.8,0.557,0.211,0.147,0.108,0.091,0.443,0.542,0.688,0.513,0.536,0.255,0.336,0.705,1,0.062,26,0.153,0.343,3
"473","Fred VanVleet",0.409,15.4,0.518,0.311,0.104,0.04,0.063,0.482,0.43,0.546,0.192,0.286,0.341,0.388,0.179,0.702,0,0,0.157,0.453,1
"476","Nikola Vučević",0.47,12.2,0.726,0.238,0.288,0.123,0.077,0.274,0.523,0.673,0.485,0.393,0.414,0.329,0.731,0.988,0.029,23,0.028,0.857,3
"480","Kemba Walker",0.421,17.4,0.474,0.201,0.117,0.079,0.077,0.526,0.47,0.605,0.278,0.455,0.422,0.377,0.254,0.479,0,0,0.043,0.316,1
"486","T.J. Warren",0.529,11.8,0.788,0.274,0.178,0.222,0.114,0.212,0.571,0.769,0.432,0.503,0.444,0.375,0.611,0.942,0.039,34,0.478,0.432,3
"487","P.J. Washington",0.455,12.3,0.61,0.324,0.25,0.024,0.012,0.39,0.507,0.66,0.34,0.214,0.429,0.374,0.786,0.965,0.109,59,0.274,0.508,1
"492","Russell Westbrook",0.474,10.1,0.832,0.413,0.143,0.128,0.148,0.168,0.518,0.64,0.363,0.422,0.41,0.254,0.232,0.647,0.043,39,0.199,0.225,3
"495","Hassan Whiteside",0.618,5.1,0.99,0.558,0.259,0.108,0.065,0.01,0.619,0.743,0.503,0.37,0.432,0.571,0.652,1,0.189,124,0,0,2
"496","Andrew Wiggins",0.447,13.6,0.658,0.251,0.212,0.102,0.094,0.342,0.506,0.686,0.454,0.33,0.337,0.332,0.393,0.775,0.034,31,0.138,0.326,3
"504","Zion Williamson",0.589,3.6,0.955,0.767,0.154,0.021,0.014,0.045,0.595,0.674,0.289,0.333,0,0.462,0.747,1,0.192,51,0,0,2
"506","Justise Winslow",0.388,10.4,0.791,0.256,0.372,0.085,0.078,0.209,0.431,0.606,0.354,0.455,0.2,0.222,0.5,0.833,0.031,3,0.296,0.125,3
"511","Trae Young",0.437,16.8,0.545,0.183,0.167,0.146,0.05,0.455,0.501,0.596,0.452,0.467,0.413,0.361,0.161,0.298,0,0,0.033,0.579,3
