,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
21,Buddy Hield,SAC,27,64,28,36,32,109,111,-2,0.154,1.31,13.5,0.027,0.124,0.074,10.3,0.544,0.566,0.261,100.46,10.6
21,Cory Joseph,SAC,28,64,28,36,24,107.2,107.6,-0.4,0.199,3.41,32.3,0.024,0.083,0.053,9.5,0.484,0.513,0.128,99.35,7
21,Harrison Barnes,SAC,28,64,28,36,34.9,109.1,110.3,-1.2,0.098,1.9,14.5,0.027,0.108,0.067,7.6,0.524,0.575,0.172,100.69,9
21,Kent Bazemore,SAC,30,64,31,33,25.1,107.7,106.4,1.2,0.074,1,11.7,0.014,0.143,0.08,11.7,0.453,0.5,0.168,102.51,6.4
21,Nemanja Bjelica,SAC,32,64,28,36,28.5,109.4,111.6,-2.2,0.14,1.95,19.8,0.058,0.173,0.114,10.2,0.579,0.597,0.171,99.12,10.1
21,Terence Davis,TOR,23,64,46,18,17,112.3,102.4,10,0.145,1.65,18.4,0.041,0.139,0.092,11.2,0.575,0.598,0.18,101.71,10.8
21,Royce O'Neale,UTA,27,64,41,23,29.1,113.1,107.7,5.4,0.115,3.26,29.3,0.012,0.159,0.09,9,0.567,0.584,0.092,99.68,7.1
21,Joe Ingles,UTA,32,64,41,23,29.9,110.9,105.1,5.8,0.24,2.67,33.5,0.012,0.114,0.066,12.6,0.566,0.588,0.147,100.01,9.6
40,De'Andre Hunter,ATL,22,63,19,44,32,108,113.6,-5.5,0.079,1.09,11.7,0.021,0.116,0.068,10.7,0.489,0.521,0.173,103.96,5.8
40,Joe Harris,BKN,28,63,30,33,30.9,109.9,108.3,1.6,0.098,1.4,13.5,0.028,0.1,0.064,9.6,0.579,0.592,0.176,102.12,8.6
40,Brad Wanamaker,BOS,30,63,43,20,19.3,107.7,104.8,2.9,0.184,2.26,26.4,0.015,0.079,0.048,11.7,0.48,0.56,0.152,101.2,8.1
40,Devonte' Graham,CHA,25,63,23,40,35.1,107.4,111.8,-4.5,0.345,2.6,27.5,0.018,0.078,0.047,10.6,0.495,0.537,0.243,97.32,10.9
40,Terry Rozier,CHA,26,63,21,42,34.4,104.5,113.4,-9,0.209,1.84,18.4,0.022,0.107,0.062,10,0.514,0.553,0.232,96.62,10.3
40,Tim Hardaway Jr.,DAL,28,63,38,25,28.8,115.8,107.7,8,0.1,2.03,11.9,0.012,0.086,0.05,5.9,0.554,0.581,0.209,101.95,9.2
40,Ben McLemore,HOU,27,63,40,23,22.8,116,109.4,6.7,0.051,1.17,9,0.013,0.077,0.045,7.7,0.609,0.622,0.154,104.61,6.5
40,T.J. McConnell,IND,28,63,38,25,18.9,108,107.3,0.7,0.356,3.67,40.6,0.027,0.104,0.067,11,0.523,0.541,0.165,102.15,12
40,Montrezl Harrell,LAC,26,63,44,19,27.8,112.3,105.8,6.5,0.102,0.99,9.2,0.089,0.141,0.116,9.3,0.58,0.607,0.245,104.73,14.5
40,Kentavious Caldwell-Pope,LAL,27,63,49,14,25.5,112.6,107,5.6,0.086,1.91,15.8,0.022,0.056,0.039,8.3,0.565,0.592,0.143,102.37,6.8
40,Jarrett Culver,MIN,21,63,19,44,23.9,106,109.3,-3.3,0.105,1.36,13.5,0.041,0.092,0.065,10,0.462,0.467,0.187,105.22,5.5
40,Shai Gilgeous-Alexander,OKC,21,63,39,24,35.1,113,109.4,3.7,0.144,1.78,14.8,0.021,0.149,0.087,8.4,0.514,0.566,0.235,99.59,12.3
40,Dennis Schroder,OKC,26,63,39,24,31,109,103.1,6,0.22,1.61,17.6,0.01,0.1,0.057,10.9,0.532,0.573,0.262,101.58,12.2
40,Chris Paul,OKC,35,63,40,23,31.8,114.4,107.6,6.8,0.318,3.11,28.8,0.011,0.141,0.078,9.3,0.552,0.609,0.226,100.44,15.1
40,Terrence Ross,ORL,29,63,29,34,27.3,104.7,107.5,-2.8,0.072,1.19,7.6,0.007,0.107,0.054,6.4,0.511,0.548,0.217,99.98,9.7
40,Mike Scott,PHI,31,63,37,26,17.8,109.3,104.8,4.6,0.059,2,11.9,0.05,0.147,0.097,6,0.522,0.539,0.13,101.69,7.4
40,Trey Lyles,SAS,24,63,27,36,20.2,111.3,113.7,-2.4,0.072,1.77,14.7,0.056,0.228,0.142,8.3,0.541,0.557,0.136,100.81,8.8
40,Bryn Forbes,SAS,26,63,27,36,25.1,108,114.8,-6.8,0.097,1.89,13.9,0.007,0.071,0.039,7.3,0.544,0.57,0.185,100.41,6.4
40,Patty Mills,SAS,31,63,27,36,22.7,112.5,108.9,3.6,0.111,2.2,14.4,0.013,0.052,0.033,6.5,0.557,0.589,0.193,104.19,8.2
40,OG Anunoby,TOR,22,63,45,18,30.1,111.1,105.5,5.7,0.073,1.32,13.5,0.039,0.134,0.087,10.2,0.584,0.598,0.143,101.6,8.5
40,Donovan Mitchell,UTA,23,63,40,23,34.4,111.5,109,2.5,0.21,1.58,14.8,0.021,0.102,0.063,9.3,0.517,0.56,0.305,100.32,12.6
40,Jordan Clarkson,UTA,28,63,31,32,24.2,111,110.7,0.4,0.131,1.51,12.3,0.03,0.076,0.053,8.1,0.551,0.583,0.246,99.6,10.9
40,Bojan Bogdanovic,UTA,31,63,41,22,33.1,113.5,108,5.5,0.099,0.82,9.8,0.02,0.1,0.062,11.9,0.548,0.603,0.252,99.45,10.5
63,Grant Williams,BOS,21,62,43,19,15.6,109.8,102.4,7.4,0.084,1.35,19.3,0.056,0.103,0.079,14.3,0.471,0.508,0.11,102.48,3.9
63,Christian Wood,DET,24,62,20,42,21.4,110.8,108.8,2,0.074,0.71,8,0.079,0.214,0.147,11.1,0.62,0.659,0.223,99.54,15.3
63,Robert Covington,HOU,29,62,23,39,30.1,109.8,109.7,0.1,0.058,0.8,8.6,0.027,0.177,0.101,10.8,0.546,0.571,0.174,103.11,9.1
63,Domantas Sabonis,IND,24,62,37,25,34.8,109.9,106.8,3.1,0.215,1.82,21.3,0.089,0.262,0.177,11.7,0.55,0.586,0.229,99.02,15.6
63,Doug McDermott,IND,28,62,37,25,20,109.4,105.4,4,0.08,1.75,11.4,0.018,0.098,0.059,6.5,0.611,0.626,0.186,101.88,9.2
63,Dwight Howard,LAL,34,62,49,13,19.2,112.8,106,6.8,0.048,0.58,9.4,0.127,0.25,0.188,16.3,0.737,0.696,0.143,99.37,11.4
63,Jonas Valanciunas,MEM,28,62,30,32,26.3,107.8,107.4,0.4,0.102,1.02,11.5,0.111,0.277,0.197,11.3,0.608,0.631,0.21,103.39,16.2
63,Kendrick Nunn,MIA,24,62,40,22,29.8,111.2,108.9,2.4,0.182,2.08,17.5,0.011,0.079,0.046,8.4,0.525,0.545,0.233,98.86,8.9
63,Wesley Matthews,MIL,33,62,50,12,24.7,109.9,97.8,12,0.074,2.22,16.3,0.013,0.076,0.046,7.3,0.522,0.545,0.125,107.27,5.6
63,Josh Okogie,MIN,21,62,19,43,25,106.3,111,-4.7,0.089,1.14,14.8,0.05,0.114,0.081,13,0.479,0.553,0.148,105.88,7
63,Maurice Harkless,NYK,27,62,39,23,23,109.7,108.5,1.2,0.062,1.28,15.7,0.038,0.117,0.079,12.2,0.562,0.572,0.105,103.38,5.9
63,Taj Gibson,NYK,35,62,21,41,16.5,101.2,113.7,-12.5,0.077,1.11,12.7,0.098,0.158,0.126,11.5,0.591,0.61,0.145,99.29,9.7
63,Devin Booker,PHX,23,62,26,36,36.1,113.7,112.5,1.2,0.29,1.67,20.8,0.012,0.103,0.057,12.5,0.543,0.617,0.289,102.47,13.5
63,CJ McCollum,POR,28,62,28,34,36,113,112.2,0.8,0.186,2.31,16.1,0.017,0.086,0.053,7,0.525,0.543,0.263,101.48,10.5
63,Rudy Gobert,UTA,28,62,40,22,34.6,113,106.8,6.1,0.065,0.78,10.5,0.104,0.279,0.197,13.6,0.698,0.7,0.161,99.22,15.1
78,Semi Ojeleye,BOS,25,61,41,20,14.6,104.1,104.5,-0.4,0.049,2.58,14.5,0.025,0.103,0.064,5.6,0.522,0.557,0.086,100.27,5.7
78,James Harden,HOU,30,61,39,22,36.7,113.8,108.2,5.6,0.356,1.65,18.8,0.026,0.132,0.08,11.4,0.533,0.616,0.358,102.77,18.3
78,T.J. Warren,IND,26,61,38,23,32.5,108.8,107.4,1.4,0.07,1.13,7.9,0.031,0.088,0.06,7,0.569,0.599,0.224,98.89,10.5
78,JaVale McGee,LAL,32,61,48,13,16.8,113.6,104.7,8.9,0.044,0.72,8.7,0.11,0.216,0.166,12,0.645,0.655,0.146,101.95,11.6
78,Danny Green,LAL,33,61,48,13,25.1,113.6,105,8.7,0.07,1.59,14.8,0.029,0.1,0.065,9.3,0.552,0.564,0.133,102.91,6.6
78,Pat Connaughton,MIL,27,61,51,10,18.3,107.5,103.2,4.3,0.112,2.02,22.8,0.046,0.153,0.101,11.3,0.54,0.558,0.115,106.82,8.9
78,Brook Lopez,MIL,32,61,50,11,26.6,111.9,99.5,12.4,0.076,1.51,12.1,0.025,0.119,0.075,8.1,0.501,0.537,0.173,106.7,8.2
78,Mitchell Robinson,NYK,22,61,20,41,23.2,106.1,109.1,-2.9,0.039,0.97,7.5,0.122,0.16,0.141,7.7,0.742,0.726,0.129,100.69,12.9
78,Evan Fournier,ORL,27,61,26,35,31.7,107,110,-3,0.161,1.61,15.3,0.008,0.073,0.04,9.5,0.564,0.599,0.238,99.9,9.9
78,James Ennis III,ORL,29,61,39,22,17.3,109.8,109.8,0,0.068,1.26,12.7,0.056,0.131,0.093,10.1,0.515,0.557,0.144,102.56,6.7
78,Hassan Whiteside,POR,31,61,29,32,31.3,114.5,112.2,2.3,0.058,0.63,7.7,0.123,0.296,0.212,12.2,0.621,0.641,0.195,101.03,16
78,Derrick White,SAS,25,61,27,34,24.1,109.1,109.4,-0.3,0.199,2.75,25.2,0.02,0.104,0.062,9.2,0.52,0.585,0.175,103.13,9.8
78,DeMar DeRozan,SAS,30,61,26,35,34.3,111.3,113.9,-2.7,0.261,2.31,21.1,0.019,0.142,0.081,9.1,0.53,0.597,0.264,100.38,13.9
78,Troy Brown Jr.,WAS,20,61,23,38,24.9,108.9,113.7,-4.8,0.131,2.18,18.7,0.039,0.171,0.103,8.5,0.502,0.534,0.166,104.91,9.9
92,Trae Young,ATL,21,60,18,42,35.3,111.2,116.1,-4.9,0.423,1.94,24.1,0.014,0.1,0.057,12.4,0.519,0.595,0.339,105.18,16
92,Vince Carter,ATL,43,60,19,41,14.6,102,110.1,-8.1,0.081,1.45,12.1,0.019,0.114,0.065,8.3,0.452,0.47,0.163,104.65,5
92,Zach LaVine,CHI,25,60,20,40,34.8,106.8,111.2,-4.4,0.218,1.23,14.2,0.019,0.125,0.07,11.5,0.526,0.568,0.312,100.85,13
92,Thon Maker,DET,23,60,20,40,12.9,103.8,111.9,-8,0.088,0.96,13,0.069,0.152,0.11,13.6,0.539,0.582,0.16,98.52,7.6
92,Eric Paschall,GSW,23,60,14,46,27.6,103.6,114.2,-10.6,0.126,1.35,13.4,0.047,0.116,0.081,9.9,0.526,0.571,0.207,102.09,9.6
92,Austin Rivers,HOU,27,60,39,21,23.4,114.4,110.3,4.1,0.093,2.74,16,0.016,0.079,0.047,5.8,0.517,0.538,0.146,105.32,6
92,Lou Williams,LAC,33,60,41,19,29.3,111.1,106.6,4.6,0.295,2,22.5,0.015,0.079,0.048,11.2,0.476,0.546,0.27,105.06,12.4
92,LeBron James,LAL,35,60,47,13,34.9,113.3,103,10.3,0.481,2.66,29.1,0.028,0.187,0.109,10.9,0.555,0.582,0.308,101.55,20
92,Robin Lopez,MIL,32,60,49,11,14.4,105,102.4,2.6,0.068,0.76,10.6,0.056,0.091,0.074,14,0.562,0.565,0.16,106.21,6.6
92,Mo Bamba,ORL,22,60,28,32,14.5,104.7,103,1.8,0.077,1,10.9,0.099,0.217,0.156,10.9,0.534,0.549,0.164,99.67,11.7
92,Glenn Robinson III,PHI,26,60,17,43,29.1,106.3,114.2,-7.9,0.083,1.81,12.6,0.042,0.104,0.073,7,0.55,0.576,0.16,101.43,8.4
92,Al Horford,PHI,34,60,35,25,30.8,109.5,106,3.5,0.185,3.75,24.5,0.05,0.17,0.11,6.5,0.51,0.526,0.174,100.26,11.1
92,Rudy Gay,SAS,33,60,25,35,21.5,107.6,108.5,-0.9,0.116,1.29,13.8,0.042,0.195,0.119,10.7,0.5,0.545,0.206,103.27,10.7
92,Ish Smith,WAS,31,60,22,38,26.2,110.1,113.6,-3.5,0.255,3.7,29.3,0.016,0.1,0.056,7.9,0.498,0.512,0.178,104.33,9.9
106,Jeff Teague,ATL,32,59,22,37,24.8,108,113.7,-5.7,0.306,2.66,30.9,0.017,0.074,0.046,11.6,0.48,0.557,0.192,104.32,10
106,Jayson Tatum,BOS,22,59,41,18,34.6,113.8,103.5,10.3,0.138,1.32,11.3,0.026,0.168,0.097,8.6,0.523,0.562,0.279,100.59,14.3
106,Darius Garland,CLE,20,59,17,42,30.9,105.2,113.8,-8.7,0.182,1.52,20.6,0.014,0.046,0.03,13.6,0.476,0.498,0.201,100.37,5.7
106,Seth Curry,DAL,29,59,36,23,24.5,113.9,109.3,4.7,0.123,1.98,16.1,0.017,0.072,0.045,8.1,0.628,0.65,0.178,101.19,9.9
106,Tony Snell,DET,28,59,18,41,27.8,105.9,111.4,-5.5,0.11,4.1,23,0.005,0.064,0.034,5.6,0.579,0.598,0.11,98.42,6.2
106,Marquese Chriss,GSW,22,59,15,44,20.3,103.7,113.2,-9.5,0.15,1.46,17.6,0.089,0.212,0.148,12,0.556,0.604,0.184,102.49,12.7
106,Ja Morant,MEM,20,59,31,28,30,107.9,108.3,-0.4,0.348,2.14,26.9,0.025,0.082,0.055,12.6,0.523,0.568,0.258,103.56,13.1
106,Kyle Anderson,MEM,26,59,30,29,19.3,101.8,105.9,-4.1,0.156,2.4,26.5,0.046,0.156,0.103,11,0.521,0.542,0.132,104.8,9.9
106,Kelly Olynyk,MIA,29,59,38,21,18.5,111.6,108.7,2.9,0.13,1.54,19,0.034,0.192,0.116,12.3,0.603,0.64,0.159,101.62,10.3
106,Donte DiVincenzo,MIL,23,59,51,8,23.1,112.5,98.5,13.9,0.132,1.89,19.5,0.041,0.143,0.095,10.3,0.546,0.57,0.165,106.7,10.9
106,Alec Burks,PHI,28,59,17,42,27.3,102.1,110.4,-8.3,0.178,2.01,16.1,0.025,0.134,0.077,8,0.475,0.549,0.23,101.96,11.4
117,Cam Reddish,ATL,20,58,17,41,26.7,106.9,113.2,-6.3,0.079,0.91,11,0.021,0.11,0.065,12.1,0.459,0.5,0.185,105.58,5.9
117,Daniel Theis,BOS,28,58,37,21,23.8,111.8,104.1,7.7,0.1,1.98,16.7,0.09,0.172,0.131,8.4,0.599,0.629,0.146,100.09,10.7
117,P.J. Washington,CHA,21,58,22,36,30.3,103.9,110.1,-6.3,0.115,1.32,14.2,0.032,0.145,0.087,10.8,0.528,0.547,0.184,97.23,8.3
117,Cody Zeller,CHA,27,58,18,40,23.1,105.3,113.6,-8.3,0.111,1.17,12.3,0.11,0.197,0.151,10.5,0.543,0.576,0.201,97.5,11.4
117,Ryan Arcidiacono,CHI,26,58,21,37,16,101.5,105.4,-4,0.143,2.59,25.9,0.019,0.098,0.056,10,0.532,0.551,0.121,102.69,6.1
117,Justin Jackson,DAL,25,58,36,22,16,112,111.3,0.7,0.072,4.08,12.5,0.027,0.12,0.073,3.1,0.471,0.498,0.153,101.46,6.5
117,Will Barton,DEN,29,58,38,20,33,112.7,106.9,5.8,0.157,2.41,19.4,0.04,0.147,0.094,8,0.523,0.549,0.197,97.97,10.9
117,Bruce Brown,DET,23,58,18,40,28.2,106,110.4,-4.3,0.208,2.3,27.7,0.038,0.131,0.084,12,0.48,0.518,0.159,98,8.3
117,Danuel House Jr.,HOU,27,58,36,22,30,112,109.2,2.9,0.061,1.59,12.1,0.029,0.102,0.065,7.6,0.545,0.571,0.133,104.59,7
117,Aaron Holiday,IND,23,58,36,22,23.6,109.4,107.4,1.9,0.191,2.57,24.3,0.015,0.076,0.046,9.4,0.488,0.517,0.188,100.09,7.7
117,Alex Caruso,LAL,26,58,45,13,17.8,110.6,100.3,10.3,0.128,2.22,23.1,0.014,0.088,0.052,10.4,0.496,0.538,0.136,102.86,7.5
117,Gorgui Dieng,MEM,30,58,18,40,17.5,99,102.9,-3.9,0.115,1.29,14,0.076,0.227,0.15,10.9,0.535,0.564,0.176,102.92,13.5
117,Jae Crowder,MIA,29,58,26,32,29.2,108.9,112.5,-3.7,0.12,2.44,19.5,0.027,0.171,0.099,8,0.494,0.532,0.153,103.46,8.7
117,Steven Adams,OKC,26,58,37,21,27,111.5,107.1,4.4,0.132,1.64,18.8,0.13,0.211,0.172,11.5,0.593,0.605,0.166,100.65,13.7
117,Aaron Gordon,ORL,24,58,28,30,33,108.2,110.1,-2,0.164,2.29,19.2,0.051,0.175,0.112,8.4,0.479,0.511,0.203,99.58,10.1
117,Dario Saric,PHX,26,58,24,34,24.9,110.2,112.1,-1.9,0.105,1.51,15.8,0.06,0.178,0.118,10.4,0.539,0.572,0.168,102.62,9.3
117,Damian Lillard,POR,29,58,27,31,36.9,114.4,113.1,1.3,0.332,2.7,23.1,0.013,0.091,0.054,8.6,0.554,0.619,0.293,102.07,16.5
117,Dejounte Murray,SAS,23,58,24,34,25,108.7,113.8,-5.1,0.238,2.19,25.7,0.045,0.184,0.114,11.7,0.507,0.535,0.205,100.92,11.4
117,Jakob Poeltl,SAS,24,58,25,33,16.6,112.4,108.6,3.9,0.136,2.27,25.8,0.102,0.198,0.151,11.4,0.619,0.611,0.125,104.14,11.2
117,Georges Niang,UTA,27,58,38,20,13.3,105.9,107.2,-1.2,0.066,1.35,10.4,0.015,0.119,0.067,7.7,0.598,0.612,0.162,102.12,8.6
117,Isaac Bonga,WAS,20,58,21,37,17.7,109.3,107.4,1.9,0.076,1.49,19.6,0.056,0.121,0.087,13.1,0.582,0.627,0.1,103.84,6.2
138,Andre Drummond,CLE,26,57,21,36,33,107,112,-5,0.133,0.75,12,0.129,0.336,0.229,16,0.536,0.553,0.253,98.8,15.3
138,Matthew Dellavedova,CLE,29,57,17,40,14.4,103.7,105,-1.2,0.297,3.05,41.9,0.022,0.067,0.045,13.7,0.414,0.463,0.128,101.2,5.9
138,Tristan Thompson,CLE,29,57,19,38,30.2,105,115.2,-10.1,0.106,1.17,14,0.126,0.207,0.165,12,0.52,0.54,0.181,99.12,10.8
138,Jalen Brunson,DAL,23,57,34,23,17.9,113.2,105.6,7.6,0.265,2.85,27.9,0.021,0.1,0.061,9.8,0.522,0.553,0.199,100.74,10.7
138,Jordan Poole,GSW,21,57,12,45,22.3,101.8,110,-8.2,0.16,1.81,17.8,0.007,0.087,0.045,9.8,0.406,0.454,0.2,103.47,5.1
138,Giannis Antetokounmpo,MIL,25,57,48,9,30.9,112.6,96.5,16.1,0.33,1.57,17.2,0.069,0.305,0.194,10.9,0.583,0.608,0.362,107.43,23.9
138,Josh Hart,NOP,25,57,24,33,27.4,107.8,110.7,-2.9,0.082,1.45,13.8,0.031,0.19,0.109,9.6,0.531,0.556,0.149,105.11,8.8
138,Frank Ntilikina,NYK,21,57,19,38,20.8,104.8,108.7,-3.9,0.209,2.42,28.7,0.018,0.082,0.049,11.8,0.459,0.497,0.152,99.51,6.3
138,Matisse Thybulle,PHI,23,57,36,21,19.5,105.3,103.6,1.7,0.085,1.56,19.1,0.03,0.046,0.038,12.3,0.517,0.53,0.111,101.98,4.3
138,Ricky Rubio,PHX,29,57,24,33,31.6,112,108.2,3.8,0.378,3.27,37.2,0.023,0.124,0.073,11.4,0.466,0.531,0.197,103.58,11.9
138,Bradley Beal,WAS,27,57,20,37,36,113.1,117.6,-4.5,0.285,1.79,17.1,0.024,0.095,0.058,9.5,0.52,0.579,0.338,103.64,14.3
149,Bruno Fernando,ATL,21,56,18,38,12.7,102,107.6,-5.6,0.101,1.17,15.8,0.085,0.179,0.131,13.5,0.53,0.542,0.147,103.78,7.9
149,Kevin Huerter,ATL,21,56,19,37,31.4,107.5,113.6,-6.1,0.171,2.45,22.8,0.019,0.106,0.062,9.3,0.517,0.536,0.169,104.12,7.8
149,DeAndre Jordan,BKN,31,56,27,29,22,104,105.8,-1.8,0.132,1.42,20.3,0.105,0.293,0.202,14.3,0.666,0.682,0.136,102.91,16.8
149,Larry Nance Jr.,CLE,27,56,16,40,26.3,105.6,110.7,-5.1,0.126,2.05,19,0.068,0.209,0.136,9.2,0.596,0.608,0.15,99.92,12.5
149,Kevin Love,CLE,31,56,16,40,31.8,107.4,115.4,-8,0.15,1.27,15.8,0.03,0.286,0.155,12.4,0.55,0.599,0.225,100.17,14
149,Gary Harris,DEN,25,56,37,19,31.8,110.5,107.1,3.4,0.091,1.97,16,0.015,0.077,0.046,8.1,0.487,0.519,0.15,97.71,6.2
149,Svi Mykhailiuk,DET,23,56,17,39,22.6,108.6,109.2,-0.6,0.12,1.74,17.7,0.013,0.071,0.041,10.2,0.552,0.578,0.165,100.15,6.9
149,Eric Bledsoe,MIL,30,56,47,9,27.2,113,99.6,13.3,0.274,2.16,25.5,0.026,0.119,0.076,11.8,0.535,0.579,0.236,108,12.8
149,Ersan Ilyasova,MIL,33,56,45,11,16,111.2,104.3,6.9,0.069,1.42,11.6,0.063,0.211,0.139,8.2,0.552,0.591,0.161,107.63,10.6
149,Jaxson Hayes,NOP,20,56,26,30,17,107.7,109.8,-2.1,0.077,1.24,12.7,0.081,0.137,0.109,10.2,0.662,0.675,0.148,107.79,9.5
149,Lonzo Ball,NOP,22,56,24,32,32.4,110.2,109.7,0.5,0.293,2.28,32.1,0.032,0.144,0.088,14.1,0.523,0.529,0.183,104.82,10.5
149,Brandon Ingram,NOP,22,56,23,33,34.3,110.7,111.1,-0.3,0.195,1.39,15.5,0.024,0.144,0.085,11.2,0.534,0.59,0.276,104.91,13.2
