"","PLAYER","PTS","FGM","FGA","FG.","X3PM","X3PA","X3P.","FTM","FTA","FT.","OREB","DREB","REB","AST","TOV","STL","BLK","PF","Plus_Minus","OFFRTG","DEFRTG","NETRTG","AST.","AST.TO","ASTÂ.Ratio","OREB.","DREB.","REB.","TOÂ.Ratio","eFG.","TS.","USG.","PIE","Cluster_Number"
"59","OG Anunoby",10.7,4.2,8.4,0.507,1.3,3.4,0.381,0.9,1.4,0.686,1.2,4.2,5.4,1.6,1.2,1.4,0.7,2.5,3.6,111.1,105.5,5.7,0.073,1.32,13.5,0.039,0.134,0.087,10.2,0.584,0.598,0.143,8.5,2
"60","Donovan Mitchell",24.2,8.9,19.6,0.453,2.5,6.8,0.364,4,4.6,0.859,0.7,3.7,4.4,4.2,2.7,1,0.2,2.4,1.5,111.5,109,2.5,0.21,1.58,14.8,0.021,0.102,0.063,9.3,0.517,0.56,0.305,12.6,3
"62","Bojan Bogdanovic",20.2,6.6,14.8,0.447,3,7.3,0.414,4,4.4,0.903,0.6,3.5,4.1,2.1,2.5,0.5,0.1,1.7,4.2,113.5,108,5.5,0.099,0.82,9.8,0.02,0.1,0.062,11.9,0.548,0.603,0.252,10.5,2
"65","Robert Covington",12.8,4.5,10.5,0.432,2.4,6.8,0.349,1.4,1.7,0.796,0.9,5.5,6.4,1.2,1.5,1.5,1.3,3.2,-0.1,109.8,109.7,0.1,0.058,0.8,8.6,0.027,0.177,0.101,10.8,0.546,0.571,0.174,9.1,2
"66","Domantas Sabonis",18.5,7.4,13.7,0.54,0.3,1.1,0.254,3.5,4.8,0.723,3,9.4,12.4,5,2.7,0.8,0.5,3.1,2.6,109.9,106.8,3.1,0.215,1.82,21.3,0.089,0.262,0.177,11.7,0.55,0.586,0.229,15.6,1
"70","Kendrick Nunn",15.6,6.1,13.7,0.448,2.1,5.8,0.362,1.2,1.5,0.837,0.3,2.4,2.7,3.4,1.6,0.8,0.2,2.3,1.7,111.2,108.9,2.4,0.182,2.08,17.5,0.011,0.079,0.046,8.4,0.525,0.545,0.233,8.9,2
"75","Devin Booker",26.1,8.8,18,0.487,2,5.6,0.36,6.5,7.1,0.916,0.4,3.7,4.2,6.6,3.9,0.7,0.3,3,0.7,113.7,112.5,1.2,0.29,1.67,20.8,0.012,0.103,0.057,12.5,0.543,0.617,0.289,13.5,3
"76","CJ McCollum",22.5,8.9,19.5,0.453,2.8,7.4,0.38,2,2.6,0.75,0.7,3.4,4.1,4.3,1.9,0.7,0.6,2.6,0.5,113,112.2,0.8,0.186,2.31,16.1,0.017,0.086,0.053,7,0.525,0.543,0.263,10.5,3
"77","Rudy Gobert",15.1,5.7,8.2,0.698,0,0,0,3.7,5.9,0.621,3.4,10.3,13.7,1.5,1.9,0.8,2,3.2,4.4,113,106.8,6.1,0.065,0.78,10.5,0.104,0.279,0.197,13.6,0.698,0.7,0.161,15.1,1
"79","James Harden",34.4,9.9,22.7,0.435,4.4,12.6,0.352,10.1,11.8,0.861,1,5.3,6.4,7.4,4.5,1.7,0.9,3.4,4.1,113.8,108.2,5.6,0.356,1.65,18.8,0.026,0.132,0.08,11.4,0.533,0.616,0.358,18.3,3
"80","T.J. Warren",18.7,7.5,14.2,0.529,1.1,3,0.375,2.5,3,0.812,1,3,4,1.4,1.3,1.1,0.4,2.8,0.9,108.8,107.4,1.4,0.07,1.13,7.9,0.031,0.088,0.06,7,0.569,0.599,0.224,10.5,2
"86","Evan Fournier",18.8,6.7,14.2,0.47,2.7,6.7,0.406,2.8,3.4,0.82,0.3,2.3,2.6,3.2,2,1.1,0.2,2.4,-2,107,110,-3,0.161,1.61,15.3,0.008,0.073,0.04,9.5,0.564,0.599,0.238,9.9,2
"88","Hassan Whiteside",16.3,6.9,11.1,0.618,0.1,0.1,0.571,2.5,3.7,0.68,4,10.2,14.2,1.2,1.9,0.4,3.1,2.9,1.5,114.5,112.2,2.3,0.058,0.63,7.7,0.123,0.296,0.212,12.2,0.621,0.641,0.195,16,1
"90","DeMar DeRozan",22.2,8.2,15.7,0.526,0.1,0.5,0.267,5.5,6.6,0.843,0.6,5,5.6,5.6,2.4,1,0.2,2.7,-2.3,111.3,113.9,-2.7,0.261,2.31,21.1,0.019,0.142,0.081,9.1,0.53,0.597,0.264,13.9,3
"92","Trae Young",29.6,9.1,20.8,0.437,3.4,9.5,0.361,8,9.3,0.86,0.5,3.7,4.3,9.3,4.8,1.1,0.1,1.7,-3.8,111.2,116.1,-4.9,0.423,1.94,24.1,0.014,0.1,0.057,12.4,0.519,0.595,0.339,16,3
"94","Zach LaVine",25.5,9,20,0.45,3.1,8.1,0.38,4.5,5.6,0.802,0.7,4.1,4.8,4.2,3.4,1.5,0.5,2.2,-3.2,106.8,111.2,-4.4,0.218,1.23,14.2,0.019,0.125,0.07,11.5,0.526,0.568,0.312,13,3
"99","LeBron James",25.7,9.8,19.6,0.498,2.2,6.4,0.349,4,5.7,0.697,1,6.9,7.9,10.6,4,1.2,0.5,1.8,8.1,113.3,103,10.3,0.481,2.66,29.1,0.028,0.187,0.109,10.9,0.555,0.582,0.308,20,3
"103","Al Horford",12,4.8,10.9,0.442,1.5,4.4,0.337,0.9,1.2,0.753,1.5,5.3,6.9,4.1,1.1,0.9,0.9,2.1,2,109.5,106,3.5,0.185,3.75,24.5,0.05,0.17,0.11,6.5,0.51,0.526,0.174,11.1,2
"107","Jayson Tatum",23.6,8.5,18.9,0.448,2.8,7.1,0.398,3.8,4.7,0.806,1,6.1,7.1,2.9,2.2,1.4,0.9,2.1,7.5,113.8,103.5,10.3,0.138,1.32,11.3,0.026,0.168,0.097,8.6,0.523,0.562,0.279,14.3,3
"108","Darius Garland",12.3,4.7,11.8,0.401,1.8,5,0.355,1.1,1.2,0.875,0.5,1.4,1.9,3.9,2.6,0.7,0.1,1.6,-5,105.2,113.8,-8.7,0.182,1.52,20.6,0.014,0.046,0.03,13.6,0.476,0.498,0.201,5.7,2
"112","Ja Morant",17.6,6.7,13.6,0.491,0.9,2.4,0.367,3.5,4.5,0.77,0.7,2.8,3.5,6.9,3.2,0.9,0.3,1.5,-0.1,107.9,108.3,-0.4,0.348,2.14,26.9,0.025,0.082,0.055,12.6,0.523,0.568,0.258,13.1,3
"119","P.J. Washington",12.2,4.6,10.2,0.455,1.5,4,0.374,1.5,2.3,0.647,1,4.4,5.4,2.1,1.6,0.9,0.8,2.7,-3.8,103.9,110.1,-6.3,0.115,1.32,14.2,0.032,0.145,0.087,10.8,0.528,0.547,0.184,8.3,2
"123","Will Barton",15.1,5.7,12.7,0.45,1.9,5,0.375,1.8,2.3,0.767,1.3,5,6.3,3.7,1.5,1.1,0.5,2.1,4.2,112.7,106.9,5.8,0.157,2.41,19.4,0.04,0.147,0.094,8,0.523,0.549,0.197,10.9,2
"125","Danuel House Jr.",10.2,3.6,8.3,0.427,1.9,5.4,0.363,1.2,1.5,0.8,1,3.3,4.2,1.3,0.8,1.1,0.6,2.1,1.8,112,109.2,2.9,0.061,1.59,12.1,0.029,0.102,0.065,7.6,0.545,0.571,0.133,7,2
"131","Aaron Gordon",14.4,5.4,12.5,0.433,1.2,3.9,0.301,2.4,3.5,0.675,1.8,5.8,7.6,3.7,1.6,0.9,0.6,2,-1.7,108.2,110.1,-2,0.164,2.29,19.2,0.051,0.175,0.112,8.4,0.479,0.511,0.203,10.1,2
"133","Damian Lillard",28.9,9.2,20,0.457,3.9,9.9,0.394,6.7,7.6,0.888,0.5,3.8,4.3,7.8,2.9,1,0.4,1.7,1.2,114.4,113.1,1.3,0.332,2.7,23.1,0.013,0.091,0.054,8.6,0.554,0.619,0.293,16.5,3
"138","Andre Drummond",17.7,7.3,13.8,0.533,0.1,0.6,0.143,3,5.2,0.575,4.4,10.8,15.2,2.7,3.6,1.9,1.6,3.5,-3.4,107,112,-5,0.133,0.75,12,0.129,0.336,0.229,16,0.536,0.553,0.253,15.3,1
"139","Tristan Thompson",12,5.1,9.9,0.512,0.2,0.4,0.391,1.7,2.8,0.615,4,6.2,10.1,2.1,1.8,0.6,0.9,2.2,-6.6,103.7,105,-1.2,0.297,3.05,41.9,0.022,0.067,0.045,13.7,0.414,0.463,0.128,5.9,2
"143","Giannis Antetokounmpo",29.6,10.9,20,0.547,1.5,4.8,0.306,6.3,10,0.633,2.3,11.5,13.7,5.8,3.7,1,1,3,11.4,112.6,96.5,16.1,0.33,1.57,17.2,0.069,0.305,0.194,10.9,0.583,0.608,0.362,23.9,1
"147","Ricky Rubio",13.1,4.4,10.7,0.412,1.2,3.3,0.351,3.1,3.6,0.853,0.7,3.9,4.6,8.9,2.7,1.5,0.2,2.5,2.3,112,108.2,3.8,0.378,3.27,37.2,0.023,0.124,0.073,11.4,0.466,0.531,0.197,11.9,3
"148","Bradley Beal",30.5,10.4,22.9,0.455,3,8.4,0.353,6.8,8,0.842,0.9,3.3,4.2,6.1,3.4,1.2,0.4,2.2,-3.5,113.1,117.6,-4.5,0.285,1.79,17.1,0.024,0.095,0.058,9.5,0.52,0.579,0.338,14.3,3
"149","Kevin Huerter",12.2,4.5,10.9,0.413,2.3,6,0.38,0.9,1.1,0.828,0.6,3.4,4.1,3.8,1.6,0.9,0.5,2.5,-4.3,102,107.6,-5.6,0.101,1.17,15.8,0.085,0.179,0.131,13.5,0.53,0.542,0.147,7.9,2
"153","Kevin Love",17.6,5.8,13,0.45,2.6,7,0.374,3.3,3.9,0.854,1,8.8,9.8,3.2,2.5,0.6,0.3,1.6,-4.8,107.4,115.4,-8,0.15,1.27,15.8,0.03,0.286,0.155,12.4,0.55,0.599,0.225,14,2
"154","Gary Harris",10.4,3.9,9.3,0.42,1.3,3.8,0.333,1.3,1.6,0.815,0.5,2.4,2.9,2.1,1.1,1.4,0.3,2.1,2.2,110.5,107.1,3.4,0.091,1.97,16,0.015,0.077,0.046,8.1,0.487,0.519,0.15,6.2,2
